,make_model,price,gearing_type,km,kw,age
371,Audi A1,14890.0,Automatic,58718.0,85.0,0.0
372,Audi A1,14700.0,Automatic,35730.0,92.0,0.0
373,Audi A1,14640.0,Automatic,83450.0,85.0,0.0
374,Audi A1,14799.0,Automatic,75000.0,66.0,0.0
375,Audi A1,14990.0,Automatic,49351.0,66.0,0.0
376,Audi A1,14990.0,Automatic,49351.0,66.0,0.0
377,Audi A1,14990.0,Automatic,49351.0,66.0,0.0
378,Audi A1,14990.0,Automatic,49351.0,66.0,0.0
379,Audi A1,14990.0,Automatic,49351.0,66.0,0.0
380,Audi A1,16395.0,Automatic,58525.0,70.0,1.0
381,Audi A1,16250.0,Automatic,37000.0,70.0,0.0
382,Audi A1,16400.0,Automatic,42000.0,92.0,1.0
383,Audi A1,14990.0,Automatic,49351.0,66.0,0.0
384,Audi A1,16290.0,Automatic,53000.0,85.0,1.0
385,Audi A1,14990.0,Automatic,49351.0,66.0,0.0
386,Audi A1,16199.0,Automatic,31235.0,70.0,1.0
387,Audi A1,15998.0,Automatic,72761.0,71.0,1.0
388,Audi A1,15990.0,Automatic,73575.0,85.0,0.0
389,Audi A1,16000.0,Automatic,19000.0,66.0,0.0
390,Audi A1,16150.0,Automatic,19068.0,70.0,1.0
391,Audi A1,16000.0,Automatic,11000.0,85.0,0.0
392,Audi A1,15993.0,Automatic,33200.0,92.0,0.0
393,Audi A1,15990.0,Automatic,45000.0,85.0,1.0
394,Audi A1,15990.0,Automatic,42900.0,66.0,0.0
395,Audi A1,15980.0,Automatic,52900.0,66.0,1.0
396,Audi A1,15590.0,Automatic,40500.0,70.0,0.0
397,Audi A1,15990.0,Automatic,146140.0,85.0,0.0
398,Audi A1,15980.0,Automatic,44300.0,85.0,1.0
399,Audi A1,15990.0,Automatic,9300.0,70.0,0.0
400,Audi A1,15980.0,Automatic,72192.0,85.0,0.0
401,Audi A1,15990.0,Automatic,46123.0,92.0,0.0
402,Audi A1,15580.0,Automatic,18150.0,66.0,0.0
403,Audi A1,15490.0,Automatic,42979.0,70.0,1.0
404,Audi A1,15500.0,Automatic,24000.0,66.0,0.0
405,Audi A1,15490.0,Automatic,40528.0,66.0,1.0
406,Audi A1,15500.0,Automatic,104000.0,70.0,1.0
407,Audi A1,15500.0,Automatic,63473.0,85.0,0.0
408,Audi A1,15490.0,Automatic,29950.0,110.0,1.0
409,Audi A1,15480.0,Automatic,25320.0,92.0,0.0
410,Audi A1,15450.0,Automatic,24030.0,66.0,1.0
411,Audi A1,15450.0,Automatic,36590.0,70.0,0.0
412,Audi A1,15450.0,Automatic,34011.0,85.0,0.0
413,Audi A1,15450.0,Automatic,25600.0,66.0,0.0
414,Audi A1,15444.0,Automatic,13776.0,70.0,1.0
415,Audi A1,15960.0,Automatic,34400.0,70.0,0.0
416,Audi A1,15960.0,Automatic,34400.0,70.0,0.0
417,Audi A1,15930.0,Automatic,66844.0,85.0,0.0
418,Audi A1,15900.0,Automatic,58000.0,66.0,0.0
419,Audi A1,15900.0,Automatic,40000.0,85.0,0.0
420,Audi A1,15900.0,Automatic,41500.0,70.0,0.0
421,Audi A1,15425.0,Automatic,43255.0,70.0,0.0
422,Audi A1,14990.0,Automatic,49351.0,66.0,0.0
423,Audi A1,15889.0,Automatic,42023.0,70.0,1.0
424,Audi A1,15970.0,Automatic,36950.0,70.0,1.0
425,Audi A1,15889.0,Automatic,106829.0,85.0,0.0
426,Audi A1,15880.0,Automatic,49880.0,66.0,0.0
427,Audi A1,15850.0,Automatic,50272.0,70.0,0.0
428,Audi A1,15850.0,Automatic,69900.0,66.0,0.0
429,Audi A1,15800.0,Automatic,19582.0,70.0,0.0
430,Audi A1,15790.0,Automatic,43954.0,70.0,1.0
431,Audi A1,15840.0,Automatic,32910.0,70.0,0.0
432,Audi A1,15830.0,Automatic,23327.0,70.0,1.0
433,Audi A1,15790.0,Automatic,32814.0,70.0,1.0
434,Audi A1,15789.0,Automatic,59702.0,85.0,0.0
435,Audi A1,15784.0,Automatic,65838.0,67.0,0.0
436,Audi A1,15780.0,Automatic,23211.0,70.0,1.0
437,Audi A1,12170.0,Manual,97930.0,66.0,0.0
438,Audi A1,12490.0,Manual,70000.0,66.0,0.0
439,Audi A1,12820.0,Manual,54392.0,70.0,1.0
440,Audi A1,11950.0,Manual,73000.0,70.0,0.0
441,Audi A1,12480.0,Manual,111380.0,85.0,0.0
442,Audi A1,12480.0,Manual,63350.0,70.0,1.0
443,Audi A1,12480.0,Manual,129550.0,85.0,0.0
444,Audi A1,12900.0,Manual,28978.0,66.0,0.0
445,Audi A1,13420.0,Manual,61220.0,70.0,1.0
446,Audi A1,13490.0,Manual,71000.0,66.0,0.0
447,Audi A1,13490.0,Manual,24999.0,70.0,0.0
448,Audi A1,13490.0,Manual,46400.0,70.0,0.0
449,Audi A1,12900.0,Manual,62400.0,66.0,0.0
